Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Brazil,123rd,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7,0.698,0.698,6.45,0.32,4.837,3.56,0.658,5.255,2.93,Stable
Cuba,112th,5.7,7.0,4.5,4.5,5.9,5.7,7.0,4.7,7.3,5.6,4.5,5.0,0.773,0.773,7.94,1.22,4.334,0.41,0.779,3.67,0.31,Stable
Malaysia,115th,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,0.911,0.911,7.16,0.58,5.9,0.36,0.818,0.755,2.96,Stable
Mongolia,129th,4.0,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,0.513,0.513,8.06,3.6,7.1635,6.61,0.377,1.94,0.27,Stable
Seychelles,124th,6.6,5.7,4.5,4.6,6.0,5.5,5.7,3.2,4.6,5.1,3.1,7.5,0.493,0.493,7.01,3.78,7.488,1.01,0.426,1.31,0,Stable
Belize,116th,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9,0.895,0.895,8.08,0.22,4.209,0.34,0.841,2.85,0.35,Stable
Brunei Darussalam,121st,5.6,7.4,5.9,2.8,7.8,4.6,8.0,2.2,7.7,4.2,2.7,4.1,0.754,0.754,7.45,2.28,3.1245,1.44,0.677,1.275,2.45,Stable
Trinidad and Tobago,126th,5.7,5.6,4.1,4.3,5.5,7.5,5.0,4.8,4.6,5.0,3.0,3.6,0.938,0.938,4.9,0.66,7.338,4.88,0.892,2.735,0.53,Stable
Bulgaria,130th,4.1,5.3,5.2,6.2,4.9,4.6,5.0,4.2,3.4,4.2,3.5,4.8,0.864,0.864,7.88,0.6,5.3005,0.85,0.714,3.125,6.25,Stable
Kuwait,128th,3.9,7.5,4.7,3.0,4.7,3.1,7.3,2.5,7.3,5.1,4.0,4.4,0.741,0.741,7.4,0.7,6.8135,1.35,0.701,2.215,3.29,Stable
