Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Cape Verde,2013,94th,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2,0.501,0.501,5.46,1.52,1.804048554,6.24,0.479,0,2.181,Warning
Kazakhstan,2013,109th,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3,0.727,0.727,7.53,1.84,4.04574372,0.22,0.675,5.71,0.992,Warning
El Salvador,2013,95th,6.4,4.3,5.7,6.5,7.0,6.9,5.9,6.5,6.1,7.4,5.5,5.1,0.725,0.725,7.54,1.52,2.339786684,2.01,0.639,3.31,0,Warning
Cuba,2013,101st,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7,0.773,0.773,7.92,1.4,1.830711288,0.46,0.791,3.435,1.696,Warning
Moldova,2013,83rd,7.2,7.7,6.0,6.4,5.9,6.9,6.9,5.7,6.0,5.9,5.0,6.9,0.828,0.828,5.71,1.64,2.345741822,3.12,0.724,-0.955,0.976,Warning
Peru,2013,103rd,7.0,6.7,7.0,4.1,7.8,6.1,7.1,6.4,5.0,5.9,4.7,4.5,0.538,0.538,7.63,1.4,6.358964506,0.23,0.382,1.92,0.158,Warning
Macedonia,2013,112th,6.0,7.0,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6,0.484,0.484,7.88,1.02,3.122777273,7.23,0.505,2.6,0,Warning
Albania,2013,119th,5.5,6.3,4.8,5.3,4.8,6.6,7.0,4.8,6.0,4.7,3.1,6.3,0.759,0.759,7.73,2.68,1.676504494,1.38,0.715,3.41,6.182,Warning
Micronesia,2013,99th,5.4,5.6,4.2,7.5,8.0,8.4,6.3,6.3,3.1,7.1,3.1,7.9,0.421,0.421,7.65,1.12,4.441622149,0.55,0.292,2.335,0,Warning
Belize,2013,114th,5.5,4.3,4.4,5.5,6.6,7.1,6.0,6.0,4.1,6.5,4.9,6.3,0.889,0.889,8.04,0.2,2.470195489,0.35,0.829,3.16,5.266,stable
Ukraine,2013,117th,4.4,8.0,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2,0.741,0.741,6.35,1.5,6.525974882,1.26,0.673,4.17,1.177,stable
Ghana,2013,110th,3.8,5.0,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6.0,0.755,0.755,7.46,4.82,1.878830522,1.28,0.778,1.565,0,stable
Samoa,2013,111th,5.5,5.1,4.8,5.9,6.0,8.8,6.0,4.8,4.5,6.8,2.5,8.0,0.838,0.838,6.79,3.68,4.821512653,1.49,0.823,0,0,stable
Antigua and Barbuda,2013,128th,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4.0,4.4,4.6,3.0,5.8,0.523,0.523,5.15,1.46,2.669384943,10.41,0.476,4.615,3.01,stable
Namibia,2013,108th,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5,0.72,0.72,7.09,0.52,4.338718135,0.31,0.735,1.205,0.054,stable
Trinidad and Tobago,2013,125th,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3.0,4.2,0.934,0.934,4.89,1,6.814059303,5.11,0.885,2.605,0,stable
Bahrain,2013,124th,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6,0.79,0.79,7.51,0.9,2.901002205,1.09,0.713,3.605,3.99,stable
Seychelles,2013,121st,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9,0.485,0.485,6.95,4.78,5.132505693,1.09,0.425,1.745,0,stable
Croatia,2013,135th,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5.0,0.817,0.817,7.7,2.36,1.89738515,0.41,0.78,15.895,0,stable
Cyprus,2013,115th,5.0,7.9,7.3,5.8,7.0,4.8,5.5,3.0,3.3,4.0,4.4,9.0,0.85,0.85,7.98,1.88,3.215799621,0.28,0.77,1.245,0.585,stable
Grenada,2013,120th,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7,0.57,0.57,6.1,0.34,2.507988637,4.7,0.547,4.56,0.119,stable
